From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9UPE1	Q9UPE1	reviewed	SRPK3_HUMAN	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	SRPK3 MSSK1 STK23	Homo sapiens (Human)	567
Q96ET8	Q96ET8	reviewed	TV23C_HUMAN	Golgi apparatus membrane protein TVP23 homolog C	TVP23C FAM18B2 Nbla10383	Homo sapiens (Human)	276
Q9UG56	Q9UG56	reviewed	PISD_HUMAN	Phosphatidylserine decarboxylase proenzyme, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase beta chain; Phosphatidylserine decarboxylase alpha chain]	PISD	Homo sapiens (Human)	409
Q14315	Q14315	reviewed	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	2725
O95772	O95772	reviewed	STR3N_HUMAN	STARD3 N-terminal-like protein (MLN64 N-terminal domain homolog)	STARD3NL MENTHO UNQ855/PRO1864	Homo sapiens (Human)	234
P17980	P17980	reviewed	PRS6A_HUMAN	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3 TBP1	Homo sapiens (Human)	439
Q9HCD5	Q9HCD5	reviewed	NCOA5_HUMAN	Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2) (CIA)	NCOA5 KIAA1637	Homo sapiens (Human)	579
O94875	O94875	reviewed	SRBS2_HUMAN	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100
P60468	P60468	reviewed	SC61B_HUMAN	Protein transport protein Sec61 subunit beta	SEC61B	Homo sapiens (Human)	96
Q9ULS5	Q9ULS5	reviewed	TMCC3_HUMAN	Transmembrane and coiled-coil domain protein 3	TMCC3 KIAA1145	Homo sapiens (Human)	477
Q9UKY7	Q9UKY7	reviewed	CDV3_HUMAN	Protein CDV3 homolog	CDV3 H41	Homo sapiens (Human)	258
Q96AY3	Q96AY3	reviewed	FKB10_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (FK506-binding protein 10) (FKBP-10) (Immunophilin FKBP65) (Rotamase)	FKBP10 FKBP65 PSEC0056	Homo sapiens (Human)	582
Q9H7L9	Q9H7L9	reviewed	SDS3_HUMAN	Sin3 histone deacetylase corepressor complex component SDS3 (45 kDa Sin3-associated polypeptide) (Suppressor of defective silencing 3 protein homolog)	SUDS3 SAP45 SDS3	Homo sapiens (Human)	328
Q86WX3	Q86WX3	reviewed	AROS_HUMAN	Active regulator of SIRT1 (40S ribosomal protein S19-binding protein 1) (RPS19-binding protein 1) (S19BP)	RPS19BP1 AROS	Homo sapiens (Human)	136
O60664	O60664	reviewed	PLIN3_HUMAN	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434
P35659	P35659	reviewed	DEK_HUMAN	Protein DEK	DEK	Homo sapiens (Human)	375
P06454	P06454	reviewed	PTMA_HUMAN	Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1]	PTMA TMSA	Homo sapiens (Human)	111
Q96FQ6	Q96FQ6	reviewed	S10AG_HUMAN	Protein S100-A16 (Aging-associated gene 13 protein) (Protein S100-F) (S100 calcium-binding protein A16)	S100A16 S100F AAG13	Homo sapiens (Human)	103
Q8IWE2	Q8IWE2	reviewed	NXP20_HUMAN	Protein NOXP20 (Nervous system overexpressed protein 20) (Protein FAM114A1)	FAM114A1 NOXP20	Homo sapiens (Human)	563
P45378	P45378	reviewed	TNNT3_HUMAN	Troponin T, fast skeletal muscle (TnTf) (Beta-TnTF) (Fast skeletal muscle troponin T) (fTnT)	TNNT3	Homo sapiens (Human)	269
Q8NDC0	Q8NDC0	reviewed	MISSL_HUMAN	MAPK-interacting and spindle-stabilizing protein-like (Mitogen-activated protein kinase 1-interacting protein 1-like)	MAPK1IP1L C14orf32	Homo sapiens (Human)	245
Q99536	Q99536	reviewed	VAT1_HUMAN	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	VAT1	Homo sapiens (Human)	393
P26368	P26368	reviewed	U2AF2_HUMAN	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
P45379	P45379	reviewed	TNNT2_HUMAN	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	TNNT2	Homo sapiens (Human)	298
P62328	P62328	reviewed	TYB4_HUMAN	Thymosin beta-4 (T beta-4) (Fx) [Cleaved into: Hemoregulatory peptide AcSDKP (Ac-Ser-Asp-Lys-Pro) (N-acetyl-SDKP) (AcSDKP) (Seraspenide)]	TMSB4X TB4X THYB4 TMSB4	Homo sapiens (Human)	44
P61244	P61244	reviewed	MAX_HUMAN	Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)	MAX BHLHD4	Homo sapiens (Human)	160
Q13177	Q13177	reviewed	PAK2_HUMAN	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]	PAK2	Homo sapiens (Human)	524
P08047	P08047	reviewed	SP1_HUMAN	Transcription factor Sp1	SP1 TSFP1	Homo sapiens (Human)	785
P63165	P63165	reviewed	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
P62995	P62995	reviewed	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
Q9UMY4	Q9UMY4	reviewed	SNX12_HUMAN	Sorting nexin-12	SNX12	Homo sapiens (Human)	162
Q9UNF1	Q9UNF1	reviewed	MAGD2_HUMAN	Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen)	MAGED2 BCG1	Homo sapiens (Human)	606
Q13595	Q13595	reviewed	TRA2A_HUMAN	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	TRA2A	Homo sapiens (Human)	282
P16989	P16989	reviewed	YBOX3_HUMAN	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA	Homo sapiens (Human)	372
O95747	O95747	reviewed	OXSR1_HUMAN	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1 KIAA1101 OSR1	Homo sapiens (Human)	527
Q9UHY1	Q9UHY1	reviewed	NRBP_HUMAN	Nuclear receptor-binding protein	NRBP1 BCON3 NRBP	Homo sapiens (Human)	535
Q0VAK6	Q0VAK6	reviewed	LMOD3_HUMAN	Leiomodin-3 (Leiomodin, fetal form)	LMOD3	Homo sapiens (Human)	560
Q9UBL0	Q9UBL0	reviewed	ARP21_HUMAN	cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)	ARPP21 TARPP	Homo sapiens (Human)	812
Q9H0W8	Q9H0W8	reviewed	SMG9_HUMAN	Nonsense-mediated mRNA decay factor SMG9	SMG9 C19orf61	Homo sapiens (Human)	520
P16403	P16403	reviewed	H12_HUMAN	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	H1-2 H1F2 HIST1H1C	Homo sapiens (Human)	213
P10412	P10412	reviewed	H14_HUMAN	Histone H1.4 (Histone H1b) (Histone H1s-4)	H1-4 H1F4 HIST1H1E	Homo sapiens (Human)	219
P16401	P16401	reviewed	H15_HUMAN	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226
P16402	P16402	reviewed	H13_HUMAN	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221
P05976	P05976	reviewed	MYL1_HUMAN	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	MYL1	Homo sapiens (Human)	194
P20042	P20042	reviewed	IF2B_HUMAN	Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta)	EIF2S2 EIF2B	Homo sapiens (Human)	333
P11387	P11387	reviewed	TOP1_HUMAN	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
Q15149	Q15149	reviewed	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684
Q9UQ80	Q9UQ80	reviewed	PA2G4_HUMAN	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)	394
P49840	P49840	reviewed	GSK3A_HUMAN	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
Q14240	Q14240	reviewed	IF4A2_HUMAN	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	407
Q13541	Q13541	reviewed	4EBP1_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118
P98175	P98175	reviewed	RBM10_HUMAN	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	Homo sapiens (Human)	930
P63218	P63218	reviewed	GBG5_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GNG5 GNGT5	Homo sapiens (Human)	68
Q9Y3A5	Q9Y3A5	reviewed	SBDS_HUMAN	Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)	SBDS CGI-97	Homo sapiens (Human)	250
P13489	P13489	reviewed	RINI_HUMAN	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461
Q3YBR2	Q3YBR2	reviewed	TBRG1_HUMAN	Transforming growth factor beta regulator 1 (Nuclear interactor of ARF and Mdm2)	TBRG1 NIAM	Homo sapiens (Human)	411
P62316	P62316	reviewed	SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
Q9HB90	Q9HB90	reviewed	RRAGC_HUMAN	Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929)	RRAGC	Homo sapiens (Human)	399
O00560	O00560	reviewed	SDCB1_HUMAN	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
O43752	O43752	reviewed	STX6_HUMAN	Syntaxin-6	STX6	Homo sapiens (Human)	255
Q969X1	Q969X1	reviewed	LFG3_HUMAN	Protein lifeguard 3 (Protein RECS1 homolog) (Transmembrane BAX inhibitor motif-containing protein 1)	TMBIM1 LFG3 RECS1 PP1201 PSEC0158	Homo sapiens (Human)	311
P17661	P17661	reviewed	DESM_HUMAN	Desmin	DES	Homo sapiens (Human)	470
Q16851	Q16851	reviewed	UGPA_HUMAN	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	UGP2 UGP1	Homo sapiens (Human)	508
Q16539	Q16539	reviewed	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	Homo sapiens (Human)	360
P68402	P68402	reviewed	PA1B2_HUMAN	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229
B4DJY2	B4DJY2	reviewed	TM233_HUMAN	Transmembrane protein 233 (Dispanin subfamily B member 2) (DSPB2) (Interferon-induced transmembrane domain-containing protein D2)	TMEM233 IFITMD2	Homo sapiens (Human)	109
Q9UEY8	Q9UEY8	reviewed	ADDG_HUMAN	Gamma-adducin (Adducin-like protein 70)	ADD3 ADDL	Homo sapiens (Human)	706
P11055	P11055	reviewed	MYH3_HUMAN	Myosin-3 (Muscle embryonic myosin heavy chain) (Myosin heavy chain 3) (Myosin heavy chain, fast skeletal muscle, embryonic) (SMHCE)	MYH3	Homo sapiens (Human)	1940
P84022	P84022	reviewed	SMAD3_HUMAN	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3	Homo sapiens (Human)	425
Q15796	Q15796	reviewed	SMAD2_HUMAN	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467
P62820	P62820	reviewed	RAB1A_HUMAN	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	205
P33991	P33991	reviewed	MCM4_HUMAN	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	MCM4 CDC21	Homo sapiens (Human)	863
P00352	P00352	reviewed	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
P22314	P22314	reviewed	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058
Q00839	Q00839	reviewed	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
Q00341	Q00341	reviewed	VIGLN_HUMAN	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	HDLBP HBP VGL	Homo sapiens (Human)	1268
Q9Y241	Q9Y241	reviewed	HIG1A_HUMAN	HIG1 domain family member 1A, mitochondrial (Hypoxia-inducible gene 1 protein) (RCF1 homolog A) (RCF1a)	HIGD1A HIG1 HSPC010	Homo sapiens (Human)	93
P20340	P20340	reviewed	RAB6A_HUMAN	Ras-related protein Rab-6A (Rab-6)	RAB6A RAB6	Homo sapiens (Human)	208
Q15836	Q15836	reviewed	VAMP3_HUMAN	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	100
P49023	P49023	reviewed	PAXI_HUMAN	Paxillin	PXN	Homo sapiens (Human)	591
P07355	P07355	reviewed	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	339
Q92522	Q92522	reviewed	H1X_HUMAN	Histone H1.10 (Histone H1x)	H1-10 H1FX	Homo sapiens (Human)	213
Q9NWU2	Q9NWU2	reviewed	GID8_HUMAN	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)	GID8 C20orf11 TWA1	Homo sapiens (Human)	228
Q86Y82	Q86Y82	reviewed	STX12_HUMAN	Syntaxin-12	STX12	Homo sapiens (Human)	276
Q9Y262	Q9Y262	reviewed	EIF3L_HUMAN	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	EIF3L EIF3EIP EIF3S6IP HSPC021 HSPC025 MSTP005	Homo sapiens (Human)	564
O15400	O15400	reviewed	STX7_HUMAN	Syntaxin-7	STX7	Homo sapiens (Human)	261
Q15311	Q15311	reviewed	RBP1_HUMAN	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)	RALBP1 RLIP RLIP1 RLIP76	Homo sapiens (Human)	655
Q9BSE2	Q9BSE2	reviewed	TMM79_HUMAN	Transmembrane protein 79 (Mattrin)	TMEM79 MATT	Homo sapiens (Human)	394
Q9Y534	Q9Y534	reviewed	CSDC2_HUMAN	Cold shock domain-containing protein C2 (RNA-binding protein PIPPin)	CSDC2 PIPPIN	Homo sapiens (Human)	153
Q9Y2J2	Q9Y2J2	reviewed	E41L3_HUMAN	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	EPB41L3 DAL1 KIAA0987	Homo sapiens (Human)	1087
P52294	P52294	reviewed	IMA5_HUMAN	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	Homo sapiens (Human)	538
Q16543	Q16543	reviewed	CDC37_HUMAN	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	Homo sapiens (Human)	378
Q9UK76	Q9UK76	reviewed	JUPI1_HUMAN	Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]	JPT1 ARM2 HN1	Homo sapiens (Human)	154
Q8WUA7	Q8WUA7	reviewed	TB22A_HUMAN	TBC1 domain family member 22A	TBC1D22A C22orf4	Homo sapiens (Human)	517
Q8IVF2	Q8IVF2	reviewed	AHNK2_HUMAN	Protein AHNAK2	AHNAK2 C14orf78 KIAA2019	Homo sapiens (Human)	5795
P19338	P19338	reviewed	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710
P17544	P17544	reviewed	ATF7_HUMAN	Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A)	ATF7 ATFA	Homo sapiens (Human)	483
P49006	P49006	reviewed	MRP_HUMAN	MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)	MARCKSL1 MLP MRP	Homo sapiens (Human)	195
P49585	P49585	reviewed	PCY1A_HUMAN	Choline-phosphate cytidylyltransferase A (EC 2.7.7.15) (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A) (CCT A) (CT A) (Phosphorylcholine transferase A)	PCYT1A CTPCT PCYT1	Homo sapiens (Human)	367
P67809	P67809	reviewed	YBOX1_HUMAN	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
P24385	P24385	reviewed	CCND1_HUMAN	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295
Q1KMD3	Q1KMD3	reviewed	HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2) (SAF-A2)	HNRNPUL2 HNRPUL2	Homo sapiens (Human)	747
Q9UPS8	Q9UPS8	reviewed	ANR26_HUMAN	Ankyrin repeat domain-containing protein 26	ANKRD26 KIAA1074	Homo sapiens (Human)	1710
O76021	O76021	reviewed	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
Q96N21	Q96N21	reviewed	AP4AT_HUMAN	AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Epsin for AP-4) (Tetra-epsin)	TEPSIN C17orf56 ENTHD2	Homo sapiens (Human)	525
P62258	P62258	reviewed	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255
Q86UP2	Q86UP2	reviewed	KTN1_HUMAN	Kinectin (CG-1 antigen) (Kinesin receptor)	KTN1 CG1 KIAA0004	Homo sapiens (Human)	1357
Q15124	Q15124	reviewed	PGM5_HUMAN	Phosphoglucomutase-like protein 5 (Aciculin) (Phosphoglucomutase-related protein) (PGM-RP)	PGM5 PGMRP	Homo sapiens (Human)	567
Q13207	Q13207	reviewed	TBX2_HUMAN	T-box transcription factor TBX2 (T-box protein 2)	TBX2	Homo sapiens (Human)	712
Q13459	Q13459	reviewed	MYO9B_HUMAN	Unconventional myosin-IXb (Unconventional myosin-9b)	MYO9B MYR5	Homo sapiens (Human)	2157
O75533	O75533	reviewed	SF3B1_HUMAN	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
Q12929	Q12929	reviewed	EPS8_HUMAN	Epidermal growth factor receptor kinase substrate 8	EPS8	Homo sapiens (Human)	822
Q7L014	Q7L014	reviewed	DDX46_HUMAN	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	Homo sapiens (Human)	1031
Q96MW1	Q96MW1	reviewed	CCD43_HUMAN	Coiled-coil domain-containing protein 43	CCDC43	Homo sapiens (Human)	224
Q04637	Q04637	reviewed	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
Q96TA1	Q96TA1	reviewed	NIBA2_HUMAN	Protein Niban 2 (Meg-3) (Melanoma invasion by ERK) (MINERVA) (Niban-like protein 1) (Protein FAM129B)	NIBAN2 C9orf88 FAM129B	Homo sapiens (Human)	746
Q5T4S7	Q5T4S7	reviewed	UBR4_HUMAN	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183
O75694	O75694	reviewed	NU155_HUMAN	Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)	NUP155 KIAA0791	Homo sapiens (Human)	1391
Q96N67	Q96N67	reviewed	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140
Q12816	Q12816	reviewed	TROP_HUMAN	Trophinin (MAGE-D3 antigen)	TRO KIAA1114 MAGED3	Homo sapiens (Human)	1431
Q3YEC7	Q3YEC7	reviewed	RABL6_HUMAN	Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1)	RABL6 C9orf86 PARF	Homo sapiens (Human)	729
O75367	O75367	reviewed	H2AY_HUMAN	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	MACROH2A1 H2AFY	Homo sapiens (Human)	372
Q92614	Q92614	reviewed	MY18A_HUMAN	Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)	MYO18A CD245 KIAA0216 MYSPDZ TIAF1	Homo sapiens (Human)	2054
Q8WZ42	Q8WZ42	reviewed	TITIN_HUMAN	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
P85037	P85037	reviewed	FOXK1_HUMAN	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	FOXK1 MNF	Homo sapiens (Human)	733
P09525	P09525	reviewed	ANXA4_HUMAN	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	ANXA4 ANX4	Homo sapiens (Human)	319
